Date,Open,High,Low,Close,Volume
2018-04-29T14:58:00.000Z,9269.670905,9281,9269.1,9281,6.13416535
2018-04-29T14:59:00.000Z,9281,9282.8,9281,9281.8,11.03150835
2018-04-29T15:00:00.000Z,9281.9,9282.9,9281.8,9282.9,15.56153147
2018-04-29T15:01:00.000Z,9282.9,9282.9,9282.8,9282.9,8.62621431
2018-04-29T15:02:00.000Z,9282.9,9282.9,9282.8,9282.9,9.38927817
2018-04-29T15:03:00.000Z,9282.9,9306.032726,9282.9,9298.3,16.32530565
2018-04-29T15:04:00.000Z,9298.4,9298.4,9298.3,9298.4,4.6047372
2018-04-29T15:05:00.000Z,9303.9,9308,9303.8,9308,2.42721232
2018-04-29T15:06:00.000Z,9308,9308.4,9308,9308.4,3.42934113
2018-04-29T15:07:00.000Z,9308,9308.4,9295,9295,12.54634373
2018-04-29T15:08:00.000Z,9294,9297.3,9282.9,9294.1,9.55713968
2018-04-29T15:09:00.000Z,9294.1,9294.1,9293.1,9293.3,1.91718507
2018-04-29T15:10:00.000Z,9293.3,9293.3,9293.2,9293.2,6.61536384
2018-04-29T15:11:00.000Z,9293.3,9293.8,9293.2,9293.8,2.19529664
2018-04-29T15:12:00.000Z,9293.8,9296.5,9293.7,9296.5,2.26597376
2018-04-29T15:13:00.000Z,9296.5,9308.4,9296.5,9308.3,2.37128903
2018-04-29T15:14:00.000Z,9308.3,9308.6,9308.3,9308.6,2.68325933
2018-04-29T15:15:00.000Z,9309,9309,9308.9,9309,7.64938163
2018-04-29T15:16:00.000Z,9309,9309,9308.9,9309,5.30803716
2018-04-29T15:17:00.000Z,9309,9312.9,9308.9,9312.9,20.68672175
2018-04-29T15:18:00.000Z,9312.8,9317.6,9312.8,9317.6,2.07503916
2018-04-29T15:19:00.000Z,9317.6,9317.6,9317.5,9317.5,12.51249976
2018-04-29T15:20:00.000Z,9317.5,9317.5,9303.2,9303.3,19.31304332
2018-04-29T15:21:00.000Z,9303.2,9303.3,9302.3,9302.3,12.00160407
2018-04-29T15:22:00.000Z,9302.3,9302.3,9294.5,9294.5,8.60102707
2018-04-29T15:23:00.000Z,9294.5,9294.5,9282.9,9294.5,11.67357183
2018-04-29T15:24:00.000Z,9296,9296,9291.8,9293.9,2.6428086
2018-04-29T15:25:00.000Z,9293.9,9295,9290.1,9295,1.42309994
2018-04-29T15:26:00.000Z,9295,9303.2,9295,9303.2,5.47737822
2018-04-29T15:27:00.000Z,9303.2,9307,9303.2,9307,7.91288602
2018-04-29T15:28:00.000Z,9307,9307,9306.9,9306.9,0.87172709
2018-04-29T15:29:00.000Z,9307,9307,9303.014438,9303.2,10.45811411
2018-04-29T15:30:00.000Z,9303.1,9303.1,9295.988097,9296.1,9.12136385
2018-04-29T15:31:00.000Z,9296,9296,9284,9284.6,12.57305194
2018-04-29T15:32:00.000Z,9284.9,9285.2,9284.9,9285.2,11.72134148
2018-04-29T15:33:00.000Z,9285.2,9285.7,9285.2,9285.7,5.09737492
2018-04-29T15:34:00.000Z,9285.7,9290.2,9285.7,9289.4,19.05047178
2018-04-29T15:35:00.000Z,9289.4,9294.6,9289.3,9294.5,6.27660041
2018-04-29T15:36:00.000Z,9294.5,9300,9294.4,9300,1.65308692
2018-04-29T15:37:00.000Z,9300,9307.3,9300,9307.3,4.29311873
2018-04-29T15:38:00.000Z,9307.3,9307.3,9307.2,9307.3,1.24463253
2018-04-29T15:39:00.000Z,9307.2,9307.3,9299.9,9299.9,8.89822682
2018-04-29T15:40:00.000Z,9300,9303.8,9299.8,9303,8.94764431
2018-04-29T15:41:00.000Z,9302.9,9308.1,9302.1,9308.1,1.71210864
2018-04-29T15:42:00.000Z,9308.1,9315.4,9308.1,9315.4,18.11961405
2018-04-29T15:43:00.000Z,9315.4,9317.6,9312,9314.8,10.56788914
2018-04-29T15:44:00.000Z,9314.8,9314.8,9314.7,9314.8,5.52091049
2018-04-29T15:45:00.000Z,9314.8,9316.4,9314.7,9316.4,26.86515717
2018-04-29T15:46:00.000Z,9316.4,9316.4,9316.3,9316.4,2.76895537
2018-04-29T15:47:00.000Z,9316.4,9316.4,9316.3,9316.3,1.09414418
2018-04-29T15:48:00.000Z,9316.4,9316.4,9316.3,9316.4,6.46303112
2018-04-29T15:49:00.000Z,9316.4,9316.4,9316.3,9316.3,3.09695116
2018-04-29T15:50:00.000Z,9316.4,9329,9316.4,9329,25.46925502
2018-04-29T15:51:00.000Z,9329,9329,9328.9,9328.9,6.36427037
2018-04-29T15:52:00.000Z,9329,9334,9328.9,9334,10.20054482
2018-04-29T15:53:00.000Z,9334,9335.9,9334,9335.9,1.07391405
